Provinsi,Kabupaten/Kota,Indeks Ketahanan Pangan (IKP),,,,Kriteria Kerentanan Pangan,,,,Produktivitas Padi (ku/ha) (Ku/ha),,,,Luas Panen Padi (ku/ha) (Ku/ha),,,,Indeks Pembangunan Manusia,,,,Rata-Rata Lama Sekolah,,,,Indeks Pembangunan Gender,,,,Angka Partisipasi Murni SD,,,,Angka Partisipasi Murni SMP,,,,Persentase Akses Sanitasi Layak,,,,Angka Harapan Hidup,,,,Indeks Kesehatan,,,,Akses ke Sarana Kesehatan,,,,Asuransi Jaminan Kesehatan BPJS,,,
,Banggai Laut,50.35,50.77,51.91,64.31,2,2,4,4,-,-,41.76,45.66,–,–,1.2,6.00,68.40,69.12,69.65,70.46,8.63,8.64,8.65,8.66,92.30,92.49,92.73,93.10,,,,,,,,,63.18,65.89,68.78,,70.48,70.75,71.04,71.45,0.78,0.78,0.79,0.79,,,40,43,,,,
,Morowali Utara,79.50,82.52,81.21,71.75,6,6,5,5,40.67,41.51,41.61,46.87,6236.30,7744.31,7097.83,7319.00,70.02,70.74,71.64,72.16,8.75,8.94,9.13,9.14,96.53,96.67,97.06,97.22,,,,,,,,,86.69,88.58,89.92,,72.06,72.19,72.35,72.61,0.80,0.80,0.81,0.81,,,86,90,,,,
,Kota Palu,79.94,80.05,82.43,69.73,6,6,5,5,45.60,42.41,47.01,44.55,194.91,161.59,176.85,166.00,83.26,83.71,84.12,84.53,11.73,11.74,11.75,11.76,98.09,98.77,98.57,99.19,,,,,,,,,83.72,87.54,89.49,,73.56,73.71,73.91,74.25,0.82,0.83,0.83,0.83,,,107,111,,,,
Sulawesi Selatan,Kepulauan Selayar,75.26,71.87,72.03,71.49,5,5,5,5,42.25,40.71,40.05,43.70,1588.42,1578.55,1480.48,1877.00,70.27,71.13,71.98,72.78,8.09,8.35,8.49,8.64,91.81,92.18,92.72,93.49,98.60,98.32,,98.51,80.15,,,74.83,80.84,85.65,89.39,,73.05,73.27,73.48,73.79,0.82,0.82,0.82,0.83,,,93,98,87.77,94.79,94.33,
,Bulukumba,82.50,83.03,83.73,81.87,6,6,6,6,49.25,50.60,50.56,52.23,42399.52,42683.42,43087.97,39833.00,72.75,73.64,74.43,75.26,8.01,8.26,8.52,8.66,96.23,96.41,96.64,96.89,99.55,99.97,,98.04,83.05,,,80.34,87.76,86.60,88.66,,73.67,74.01,74.18,74.43,0.83,0.83,0.83,0.84,,,144,154,67.12,67.72,74.38,
,Bantaeng,82.77,85.38,86.59,84.18,6,6,6,6,53.70,48.90,45.66,54.47,10467.54,9642.38,10428.07,9727.00,70.41,71.28,72.20,73.12,6.81,7.09,7.26,7.43,95.32,95.37,95.38,95.71,99.98,99.91,,97.09,71.52,,,76.09,88.82,78.07,77.94,,72.46,72.67,72.85,73.11,0.81,0.81,0.81,0.82,,,60,60,80.22,84.40,87.80,
,Jeneponto,79.51,79.69,81.67,75.98,6,6,5,5,46.71,44.57,47.75,48.91,27387.20,25283.45,27605.59,34291.00,68.13,68.95,69.45,70.25,6.75,7.00,7.01,7.02,92.36,92.78,92.97,93.03,95.04,95.42,,96.90,66.00,,,70.68,83.20,83.19,87.20,,73.60,73.81,74.00,74.28,0.82,0.83,0.83,0.84,,,119,125,74.09,77.86,74.23,
,Takalar,80.87,84.39,84.63,70.93,6,6,5,5,41.39,45.64,41.89,42.93,27146.57,27725.73,27596.5,31917.00,70.86,71.46,72.06,72.79,7.64,7.66,7.73,7.84,87.74,88.10,88.64,89.06,98.70,98.62,,95.12,73.51,,,74.75,91.98,95.59,96.25,,73.16,73.43,73.69,74.08,0.82,0.82,0.83,0.83,,,117,134,76.34,78.93,77.98,
,Gowa,82.13,85.24,87.53,79.38,6,6,6,6,46.14,47.71,48.57,47.64,50068.58,48550.38,49388.29,55529.00,72.44,73.01,73.71,74.22,8.40,8.41,8.53,8.54,88.26,88.87,89.48,89.66,99.58,99.29,,95.05,77.34,,,75.24,96.18,96.16,98.42,,73.86,74.03,74.19,74.43,0.83,0.83,0.83,0.84,,,251,260,66.21,69.77,75.60,
,Sinjai,81.62,82.73,82.31,76.13,6,6,5,5,45.44,48.20,46.80,49.10,22680.41,22492.38,20298.13,21675.00,70.60,71.20,71.81,72.76,7.79,7.80,7.82,7.97,98.24,98.30,98.43,98.48,99.31,99.09,,97.14,73.76,,,79.74,89.19,86.54,86.14,,72.60,72.83,73.04,73.36,0.81,0.81,0.82,0.82,,,101,103,89.26,95.87,96.72,
,Maros,81.81,83.74,83.73,72.42,6,6,5,5,48.63,48.19,48.04,47.34,40325.53,37779.27,40354.73,39489.00,72.92,73.56,74.04,74.79,8.02,8.03,8.05,8.20,89.63,89.84,90.04,90.24,99.71,99.49,,97.99,75.10,,,87.45,92.73,96.09,94.68,,73.38,73.55,73.77,74.10,0.82,0.82,0.83,0.83,,,87,109,73.71,76.48,75.11,
,Pangkajene Dan Kepulauan,78.64,79.47,81.00,78.94,6,6,6,6,44.11,42.99,41.41,45.42,26838.34,26399.15,27043.71,27868.00,72.41,73.23,73.87,74.62,8.05,8.31,8.47,8.48,90.68,90.87,91.53,92.34,94.45,95.01,,98.56,71.20,,,74.34,90.52,88.00,94.51,,72.62,72.87,73.11,73.48,0.81,0.81,0.82,0.82,,,122,126,79.28,81.55,83.01,
,Barru,84.95,87.71,86.67,72.80,6,6,5,5,61.88,50.21,53.98,59.13,23397.26,21957.57,21213.26,23591.00,72.96,73.80,74.51,75.41,8.25,8.54,8.80,8.93,95.65,95.72,95.85,96.19,99.38,99.24,,91.19,82.21,,,81.18,96.86,99.09,96.21,,72.37,72.57,72.75,73.18,0.81,0.81,0.81,0.82,,,61,66,87.82,92.61,91.50,
,Bone,81.68,83.86,85.66,67.65,6,6,4,4,49.22,49.76,47.79,48.66,186094.76,170329.8,157901.31,183673.00,69.43,70.25,70.81,71.63,7.36,7.54,7.55,7.70,93.34,93.49,93.95,94.41,94.68,95.94,,97.16,79.02,,,69.61,94.61,97.20,97.54,,72.91,73.20,73.46,73.84,0.81,0.82,0.82,0.83,,,199,202,78.80,78.07,80.74,
,Soppeng,85.27,86.35,87.90,78.14,6,6,6,6,57.21,52.98,53.36,52.65,51076.46,49038.41,45441.96,49087.00,71.05,71.94,72.76,73.69,7.96,8.27,8.45,8.59,97.42,97.49,97.79,98.01,99.19,98.76,,96.80,78.08,,,82.87,94.99,95.67,95.44,,73.17,73.47,73.77,74.21,0.82,0.82,0.83,0.83,,,86,91,70.60,79.18,78.03,
,Wajo,85.46,84.36,86.65,74.33,6,6,5,5,50.35,45.43,47.66,50.85,158471.22,140614.59,123316.52,154127.00,72.69,73.56,73.98,74.72,7.16,7.45,7.46,7.72,90.38,90.86,90.96,91.01,99.70,99.12,,96.93,64.98,,,77.93,94.05,97.03,95.93,,72.97,73.25,73.47,73.77,0.81,0.82,0.82,0.83,,,124,188,69.70,73.16,79.35,
,Sidenreng Rappang,86.19,87.52,87.92,75.68,6,6,5,5,59.05,54.31,51.75,60.04,90652.88,89088.44,86548.69,94893.00,73.81,74.38,74.81,75.49,8.04,8.20,8.21,8.36,93.10,93.20,93.32,93.75,98.50,98.33,,99.16,76.89,,,82.05,94.13,94.77,98.32,,74.17,74.32,74.45,74.69,0.83,0.84,0.84,0.84,,,112,125,62.48,60.81,67.12,
,Pinrang,85.31,87.20,86.94,74.74,6,6,5,5,61.65,58.38,61.07,61.59,88904.57,77791.79,92277.1,96747.00,73.90,74.70,75.43,75.87,8.04,8.30,8.53,8.54,96.10,96.37,96.69,96.96,99.63,99.52,,94.23,72.62,,,77.60,92.06,94.64,92.74,,74.29,74.47,74.63,74.87,0.84,0.84,0.84,0.84,,,106,106,68.92,70.23,75.51,
,Enrekang,78.55,82.12,80.31,68.55,6,6,4,4,48.11,46.20,45.59,49.65,8380.83,6914.1,7937.59,7636.00,74.61,75.11,75.83,76.50,8.93,8.94,9.11,9.26,98.37,98.43,98.72,98.79,99.67,99.26,,97.42,81.02,,,87.02,94.76,97.29,96.63,,73.76,73.92,74.07,74.30,0.83,0.83,0.83,0.84,,,105,111,84.28,90.53,90.01,
,Luwu,81.88,81.61,82.23,71.45,6,6,5,5,52.75,56.69,53.59,55.15,52579.94,51520.92,52325.28,52709.00,72.42,73.23,73.86,74.66,8.48,8.73,8.81,8.96,92.92,93.05,93.15,93.68,97.85,97.85,,96.54,75.03,,,83.91,89.02,94.72,92.91,,73.06,73.30,73.52,73.85,0.82,0.82,0.82,0.83,,,192,205,86.31,90.64,90.13,
,Tana Toraja,76.52,77.74,76.88,61.69,6,6,4,4,45.40,45.76,45.28,45.81,18276.30,15424.55,12856.98,17209.00,70.16,71.01,71.94,72.77,8.52,8.60,8.77,8.92,88.89,89.03,89.24,89.82,99.53,99.38,,96.58,82.69,,,76.63,85.42,86.03,90.74,,74.38,74.63,74.85,75.17,0.84,0.84,0.84,0.85,,,75,76,80.40,83.57,83.20,
,Luwu Utara,80.27,83.03,85.66,77.63,6,6,6,6,52.45,52.55,54.19,54.50,39822.26,37050.01,40352.09,31172.00,72.48,73.31,74.04,74.81,7.87,8.14,8.37,8.51,90.14,90.55,90.80,91.18,94.81,94.80,,97.37,72.55,,,76.41,93.07,95.94,97.14,,73.24,73.56,73.87,74.25,0.82,0.82,0.83,0.83,,,111,216,77.00,75.59,82.06,
,Luwu Timur,86.36,87.82,87.73,68.80,6,6,4,4,52.29,57.77,58.02,62.79,41995.23,39673.74,41174.43,40984.00,75.41,75.84,76.44,77.28,8.92,8.93,8.94,9.04,90.83,90.96,91.17,91.36,99.82,99.55,,95.36,79.28,,,83.16,93.19,92.50,89.65,,74.08,74.32,74.55,74.86,0.83,0.84,0.84,0.84,,,174,184,96.45,97.46,97.60,
,Toraja Utara,79.18,80.44,80.25,63.37,6,6,4,4,44.60,43.40,50.12,46.16,22838.11,19888.89,16209.27,21235.00,70.83,71.69,72.31,73.24,8.26,8.51,8.54,8.72,88.14,88.70,89.12,89.19,98.56,98.79,,97.52,84.30,,,72.47,89.81,91.83,92.86,,74.72,74.88,75.03,75.24,0.84,0.84,0.85,0.85,,,76,75,82.33,84.26,86.13,
,Kota Makasar,83.86,89.28,87.95,76.42,6,6,5,5,45.58,52.15,56.97,50.19,2805.89,2475.34,2578.25,2102.00,84.45,84.85,85.23,85.66,11.55,11.56,11.57,11.59,95.44,95.50,95.90,95.97,99.62,99.34,,95.59,83.05,,,82.91,93.83,97.56,93.92,,74.96,75.15,75.33,75.60,0.85,0.85,0.85,0.86,,,314,339,76.91,79.55,85.46,
,Kota Parepare,79.10,83.07,82.76,75.33,6,6,5,5,48.26,40.08,51.91,49.89,963.45,962.16,960.04,1008.00,79.87,80.36,80.97,81.50,10.66,10.70,10.88,10.89,97.45,97.77,98.01,98.24,99.57,99.55,,94.88,74.87,,,73.82,95.46,97.86,96.70,,74.25,74.44,74.63,74.90,0.83,0.84,0.84,0.84,,,45,51,90.41,95.72,94.57,
,Kota Palopo,73.41,82.93,83.05,76.85,6,6,5,5,57.50,54.93,50.68,56.83,2923.02,2925.19,2932.36,3323.00,80.24,80.77,81.25,81.74,11.09,11.13,11.16,11.17,98.08,98.13,98.19,98.42,98.68,,,96.58,80.51,,,80.33,94.64,96.18,96.57,,73.81,74.00,74.19,74.47,0.83,0.83,0.83,0.84,,,81,87,93.34,93.79,96.00,
Sulawesi Tenggara,Buton,73.51,69.46,72.59,65.71,5,5,4,4,38.04,36.25,36.05,40.36,1538.29,1773.74,1675.7,1226.00,68.05,68.96,69.72,70.22,8.25,8.49,8.63,8.69,81.21,81.88,82.07,82.67,99.30,99.41,98.45,,78.91,73.93,71.17,,82.89,80.33,81.22,,70.25,70.36,70.47,70.66,0.77,0.77,0.78,0.78,,,75,76,65.57,70.85,,83.97
,Muna,75.88,73.99,71.93,54.40,6,5,3,3,28.69,35.14,31.34,35.02,616.88,674.18,786.95,871.00,70.09,70.62,71.50,72.23,8.52,8.53,8.71,8.86,87.75,87.97,88.37,88.77,99.56,99.57,99.61,,82.01,82.53,84.94,,80.90,85.31,85.32,,71.50,71.56,71.64,71.77,0.79,0.79,0.79,0.80,,,113,105,64.44,73.18,,76.87
,Konawe,84.53,84.23,85.89,77.66,6,6,6,6,38.29,40.58,44.38,46.14,34529.31,37223.54,48743.45,52300.00,73.14,73.88,74.50,75.09,9.30,9.56,9.69,9.80,93.43,93.64,93.83,94.41,95.20,95.98,94.04,,76.06,73.61,73.53,,88.02,90.50,90.70,,72.72,72.78,72.85,73.04,0.81,0.81,0.81,0.82,,,105,115,65.75,71.01,,77.61
,Kolaka,82.15,85.56,83.69,70.80,6,6,5,5,40.87,45.97,40.91,44.91,12493.41,11445.07,11596.65,16383.00,74.98,75.73,76.20,76.92,9.06,9.35,9.38,9.55,90.30,90.40,90.77,91.03,99.67,99.20,98.20,,71.40,73.64,71.42,,89.12,93.56,94.03,,73.41,73.54,73.68,73.86,0.82,0.82,0.83,0.83,,,86,91,60.15,70.86,,82.38
,Konawe Selatan,82.71,85.31,84.41,69.08,6,6,4,4,38.30,39.86,38.78,39.94,23184.78,19794.28,21611.02,26161.00,69.67,70.64,71.51,72.32,8.27,8.51,8.76,8.97,88.22,88.57,88.57,89.03,99.90,99.65,98.90,,76.05,71.61,75.09,,87.92,92.36,93.45,,71.64,71.72,71.80,71.95,0.79,0.80,0.80,0.80,,,107,120,64.07,64.10,,77.32
,Bombana,84.97,85.63,85.33,71.67,6,6,5,5,43.24,44.79,48.21,47.70,17712.64,15432.46,16018.51,23161.00,67.49,68.02,68.85,69.54,8.05,8.07,8.10,8.27,85.53,85.75,86.08,86.58,99.66,99.37,98.32,,74.13,62.04,61.71,,82.29,86.24,87.47,,70.73,70.88,71.03,71.31,0.78,0.78,0.79,0.79,,,72,63,65.42,73.55,,85.54
,Wakatobi,56.62,51.98,62.54,69.85,3,3,5,5,-,-,-,-,–,–,–,–,70.88,71.45,72.03,72.59,8.50,8.51,8.53,8.54,88.91,89.20,89.59,89.72,95.26,95.41,93.86,,78.07,86.08,87.88,,86.71,85.03,87.04,,70.64,70.76,70.88,71.10,0.78,0.78,0.78,0.79,,,46,44,96.18,90.90,,95.62
,Kolaka Utara,73.28,65.55,70.26,66.98,5,4,4,4,38.32,40.69,43.60,42.72,1337.62,1449.28,1441.28,1346.00,70.47,71.11,71.75,72.37,8.54,8.81,8.82,9.06,98.25,98.42,98.64,99.00,94.22,96.62,95.01,,74.95,71.95,70.83,,91.09,92.89,92.38,,70.58,70.62,70.67,70.77,0.78,0.78,0.78,0.78,,,67,77,64.43,72.03,,77.19
,Buton Utara,74.03,79.87,81.40,64.82,5,6,4,4,31.00,35.00,32.14,33.55,923.33,726.02,884.26,720.00,69.17,69.85,70.75,71.29,9.11,9.12,9.24,9.28,92.66,92.40,92.46,92.77,99.96,99.20,98.72,,82.91,84.90,85.64,,69.69,71.64,72.91,,71.33,71.36,71.40,71.47,0.79,0.79,0.79,0.79,,,74,75,86.87,86.60,,88.13
,Konawe Utara,75.89,78.67,79.71,68.84,6,6,4,4,40.06,35.30,34.18,40.95,2234.94,2295.76,2058.92,1644.00,71.52,72.11,72.71,73.42,9.53,9.60,9.61,9.79,86.75,87.06,87.33,87.58,96.82,96.74,95.28,,81.15,77.33,77.48,,86.56,82.74,84.58,,70.47,70.53,70.60,70.73,0.78,0.78,0.78,0.78,,,51,41,84.31,86.05,,93.98
,Kolaka Timur,84.04,86.40,85.54,80.30,6,6,6,6,45.68,44.28,42.05,46.02,19483.60,19067.25,21040.92,23613.00,68.77,69.61,70.32,71.19,8.15,8.40,8.43,8.65,99.23,99.27,99.31,99.36,97.48,97.72,96.38,,74.23,74.08,75.86,,91.32,93.37,94.72,,72.99,73.11,73.23,73.47,0.82,0.82,0.82,0.82,,,38,38,66.61,68.78,,80.37
,Konawe Kepulauan,60.04,50.43,54.01,46.38,4,2,2,2,34.19,37.69,38.00,41.53,144.04,127.96,166.38,426.00,67.49,68.11,68.77,69.39,9.43,9.45,9.46,9.61,85.91,86.08,86.41,86.96,98.98,98.76,97.68,,87.71,83.79,84.04,,74.52,73.71,74.55,,70.22,70.25,70.29,70.38,0.77,0.77,0.77,0.78,,,28,27,91.33,92.74,,90.92
,Muna Barat,77.99,76.92,79.06,58.35,6,6,3,3,37.08,39.97,38.64,40.38,1453.10,1436.62,1413.58,1387.00,66.53,67.44,68.37,69.18,7.60,7.86,8.09,8.31,89.21,89.41,89.70,90.10,97.98,97.84,96.00,,85.93,87.07,85.93,,67.67,71.66,74.60,,71.13,71.17,71.23,71.32,0.79,0.79,0.79,0.79,,,58,61,69.90,83.68,,63.13
,Buton Tengah,63.69,66.97,67.07,56.01,4,4,3,3,29.17,31.59,29.48,38.01,8.67,8.67,5.78,18.00,66.41,66.94,67.58,68.39,7.33,7.34,7.35,7.37,82.88,83.14,83.79,84.37,98.08,99.59,99.10,,88.24,77.75,78.07,,83.35,85.49,87.71,,70.28,70.37,70.47,70.65,0.77,0.77,0.78,0.78,,,43,38,68.46,66.50,,72.77
,Buton Selatan,68.05,64.54,70.01,63.81,5,4,4,4,-,34.55,33.69,26.45,–,20,33.34,33.00,66.47,67.19,68.04,68.54,7.64,7.65,7.75,7.80,73.32,74.04,74.51,75.22,99.95,99.83,97.89,,86.75,83.12,81.16,,86.47,83.70,84.32,,70.06,70.14,70.22,70.36,0.77,0.77,0.77,0.77,,,36,45,74.23,77.19,,78.68
,Kota Kendari,83.01,88.34,89.67,69.69,6,6,5,5,40.67,41.16,39.01,40.73,572.85,526.21,561.44,565.00,85.19,85.51,85.97,86.36,12.52,12.53,12.55,12.56,95.76,95.78,95.84,95.93,98.25,98.92,97.69,,74.59,78.64,79.22,,94.71,93.77,98.32,,75.23,75.34,75.47,75.72,0.85,0.85,0.85,0.86,,,96,102,72.58,73.74,,83.24
,Kota Baubau,75.32,80.48,80.49,64.21,6,6,4,4,41.97,48.89,48.22,48.95,2025.33,1929.22,1961.44,1956.00,78.15,79.00,79.61,80.29,10.92,11.02,11.03,11.11,91.38,91.79,92.11,92.47,98.20,98.00,96.79,,80.95,84.68,83.35,,91.69,96.99,96.43,,74.41,74.53,74.67,74.93,0.84,0.84,0.84,0.85,,,57,58,82.96,87.64,,90.33
Gorontalo,Boalemo,81.71,81.41,81.91,69.78,6,6,5,5,50.40,50.67,55.47,56.33,5886.02,7131.4,7027.5,7883.00,67.86,68.78,69.34,69.89,7.03,7.30,7.31,7.32,82.76,83.20,83.67,83.75,,,97.04,99.03,,,67.90,,74.62,69.91,73.11,,70.94,71.24,71.43,71.70,0.78,0.79,0.79,0.80,,,76,71,68.44,81.46,,83.67
,Gorontalo,79.79,80.13,79.50,67.03,6,6,4,4,55.64,50.59,51.75,54.92,23177.91,24847.47,20930.52,24155.00,69.51,70.37,70.96,71.54,7.61,7.79,7.95,8.38,83.12,83.61,83.99,84.67,,,98.93,96.12,,,72.23,71.84,75.14,80.56,82.32,,70.54,70.81,70.99,71.26,0.78,0.78,0.78,0.79,,,166,177,78.86,79.65,,84.37
,Pohuwato,80.47,83.34,81.71,74.75,6,6,5,5,48.05,51.75,45.33,40.13,5704.18,4068.36,7000.27,8238.00,68.67,69.30,70.19,70.59,7.35,7.59,7.78,7.79,92.22,92.39,92.52,92.63,,,96.62,91.97,,,79.35,65.94,78.32,82.42,82.04,,69.07,69.40,69.63,70.00,0.75,0.76,0.76,0.77,,,62,55,75.16,86.71,,90.71
,Bone Bolango,78.84,78.27,80.32,72.17,6,6,5,5,48.87,56.07,54.39,61.23,3640.09,5382.41,3949.9,5121.00,71.39,71.97,72.82,73.30,8.33,8.35,8.52,8.62,88.53,88.84,89.26,89.99,,,98.57,94.10,,,74.61,81.97,76.75,78.15,79.99,,69.90,70.19,70.40,70.73,0.77,0.77,0.78,0.78,,,65,62,88.32,88.47,,86.08
,Gorontalo Utara,80.34,79.07,78.88,66.59,6,6,4,4,40.52,43.84,41.92,45.67,6581.47,5725.36,6534.9,6807.00,67.41,68.00,68.83,69.62,7.16,7.17,7.40,7.56,82.03,82.43,82.83,83.46,,,98.79,98.29,,,80.74,77.15,81.80,81.37,84.07,,69.33,69.65,69.88,70.25,0.76,0.76,0.77,0.77,,,54,55,72.63,76.79,,89.89
,Kota Gorontalo,80.95,87.59,86.50,71.39,6,6,5,5,52.53,54.04,46.11,50.83,1833.80,2455.47,1509.05,1693.00,78.22,78.64,79.18,79.97,10.39,10.40,10.41,10.59,87.41,87.74,88.47,88.75,,,98.83,95.52,,,62.70,67.56,92.09,94.48,93.89,,72.88,73.25,73.55,74.03,0.81,0.82,0.82,0.83,,,99,98,87.94,91.33,,90.92
Sulawesi Barat,Majene,61.63,66.33,65.80,68.96,4,4,4,4,47.65,44.46,52.67,51.44,1184.39,959.49,612.22,1286.00,71.64,72.44,73.25,74.15,9.10,9.28,9.46,9.68,94.48,94.94,95.40,95.78,94.81,94.92,96.28,,73.64,76.94,74.29,,83.26,83.45,84.52,,69.65,70.06,70.39,70.74,0.76,0.77,0.78,0.78,,,70,76,86.58,89.41,89.05,89.01
,Polewali Mandar,74.17,74.59,75.87,64.74,5,5,4,4,57.67,54.73,55.21,57.85,34623.54,30534.96,31301.62,33495.00,68.42,69.24,69.88,70.71,7.60,7.71,7.72,7.84,92.10,92.38,92.48,93.02,95.94,95.86,96.58,,68.30,71.02,69.87,,83.61,85.87,87.73,,70.48,70.82,71.08,71.46,0.78,0.78,0.79,0.79,,,124,127,83.30,83.40,86.45,87.64
,Mamasa,71.22,72.65,73.19,59.71,5,5,3,3,39.80,39.78,39.99,41.43,12301.88,12525.35,11023.68,15707.00,67.53,68.14,68.68,69.56,8.00,8.11,8.13,8.41,98.32,98.44,98.41,98.46,95.35,95.06,95.97,,74.29,75.26,74.85,,64.73,66.11,67.57,,71.94,72.16,72.27,72.43,0.80,0.80,0.80,0.81,,,146,152,80.12,81.88,78.70,77.19
,Mamuju,82.18,82.26,81.47,77.24,6,6,5,5,49.19,49.18,49.20,51.58,14296.80,10794.66,14824.7,17901.00,70.35,71.07,71.86,72.77,8.09,8.16,8.35,8.71,90.47,90.62,90.98,91.20,96.99,96.72,97.78,,68.18,68.39,67.98,,74.58,78.51,81.46,,71.36,71.79,72.13,72.61,0.79,0.80,0.80,0.81,,,86,95,92.48,89.67,92.40,92.66
,Pasangkayu / Mamaju Utara,73.65,60.10,57.34,60.63,5,4,3,3,48.47,48.16,52.72,48.93,603.52,495.49,546.02,697.00,69.94,70.42,71.04,71.62,8.11,8.12,8.13,8.14,85.55,85.74,86.16,86.43,96.30,96.18,97.21,,71.04,76.16,76.32,,81.17,80.63,83.63,,69.67,70.09,70.41,70.86,0.76,0.77,0.78,0.78,,,79,81,69.60,71.33,74.14,75.43
,Mamuju Tengah,81.37,82.26,78.29,69.73,6,6,5,5,41.16,44.87,47.09,49.65,6313.82,3296.72,4873.35,5012.00,67.07,67.63,68.53,69.17,7.61,7.73,7.94,8.10,86.10,86.40,86.76,86.91,93.73,96.48,96.76,,72.33,73.33,73.47,,83.63,82.84,82.89,,69.38,69.76,70.05,70.44,0.76,0.77,0.77,0.78,,,67,71,71.17,78.84,85.15,87.97
Maluku,Kepulauan Tanimbar,44.58,62.75,49.94,42.40,2,4,1,1,21.25,38.97,15.54,16.13,138.09,221.08,525,525.00,66.33,67.04,67.69,68.47,9.77,9.91,9.92,9.93,87.06,87.32,87.73,88.04,,,,,,,,,86.96,87.77,92.89,,69.96,70.19,70.20,70.53,0.77,0.77,0.77,0.78,,,63,65,,,,
,Maluku Tenggara,49.50,56.04,49.43,56.42,2,3,3,3,-,-,-,-,–,–,–,–,69.23,69.91,70.58,71.16,9.78,9.79,9.84,9.85,96.69,96.71,96.90,96.64,,,,,,,,,71.96,73.16,93.48,,70.43,70.71,70.93,71.24,0.78,0.78,0.78,0.79,,,62,63,,,,
,Maluku Tengah,69.62,72.21,71.92,62.92,5,5,4,4,42.13,38.51,40.80,47.08,7936.76,7213.67,10518,10518.00,73.73,74.34,75.10,75.87,9.76,9.78,9.79,10.06,98.26,97.97,98.37,98.90,,,,,,,,,74.05,79.42,93.40,,70.58,70.83,71.01,71.28,0.78,0.78,0.78,0.79,,,155,145,,,,
,Buru,79.02,80.85,80.21,58.97,6,6,3,3,36.62,33.57,38.49,40.55,12411.06,11540.65,11446,11446.00,71.52,72.11,72.55,73.24,8.99,9.01,9.02,9.28,91.03,91.22,91.86,91.91,,,,,,,,,71.93,72.05,91.55,,69.95,70.19,70.34,70.56,0.77,0.77,0.77,0.78,,,71,71,,,,
,Kepulauan Aru,42.36,44.01,43.15,45.16,2,2,1,1,-,-,-,-,–,–,–,–,67.36,68.19,69.00,69.73,8.87,8.97,9.21,9.46,88.98,89.35,89.69,89.84,,,,,,,,,33.22,38.00,83.85,,69.99,70.27,70.40,70.60,0.77,0.77,0.78,0.78,,,88,80,,,,
,Seram Bagian Barat,61.06,59.50,61.29,56.22,4,3,3,3,37.16,33.91,32.29,42.14,897.69,1262.73,900,900.00,70.76,71.68,72.54,72.91,9.24,9.35,9.59,9.60,98.94,98.90,98.68,98.71,,,,,,,,,64.74,69.17,93.58,,70.51,70.88,71.18,71.58,0.78,0.78,0.79,0.79,,,78,81,,,,
,Seram Bagian Timur,65.69,68.78,70.57,56.94,4,5,3,3,38.73,34.58,32.99,34.71,2.60,2398.44,933,933.00,69.05,69.84,70.28,71.10,8.71,8.82,9.00,9.25,88.74,89.24,89.14,89.46,,,,,,,,,71.86,72.91,80.48,,67.91,68.33,68.73,69.19,0.74,0.74,0.75,0.76,,,90,94,,,,
,Maluku Barat Daya,66.43,65.24,65.95,54.72,4,4,3,3,-,-,-,-,–,–,–,–,65.84,66.71,67.68,68.66,8.77,8.92,9.13,9.39,90.49,90.67,90.84,90.91,,,,,,,,,76.75,82.61,96.14,,68.90,69.30,69.65,70.11,0.75,0.76,0.76,0.77,,,68,71,,,,
,Buru Selatan,57.79,59.08,53.32,48.83,3,3,2,2,-,-,-,-,–,–,–,–,66.81,67.68,68.54,69.36,8.06,8.23,8.48,8.74,86.82,87.26,87.29,87.46,,,,,,,,,61.69,63.74,84.81,,69.85,70.11,70.28,70.54,0.77,0.77,0.77,0.78,,,59,59,,,,
,Kota Ambon,80.96,84.73,84.56,63.53,6,6,4,4,-,-,-,-,–,–,–,–,82.44,82.84,83.37,83.97,12.21,12.22,12.24,12.37,97.93,97.91,98.10,98.33,,,,,,,,,90.79,91.32,98.22,,72.54,72.86,73.14,73.56,0.81,0.81,0.82,0.82,,,97,100,,,,
,Kota Tual,45.18,54.91,59.11,50.58,3,4,2,2,24.09,39.09,-,-,0.22,0.11,–,–,70.85,71.67,72.48,72.88,10.54,10.66,10.67,10.68,88.56,88.64,88.90,88.97,,,,,,,,,83.44,89.24,95.56,,70.86,71.32,71.72,72.05,0.78,0.79,0.80,0.80,,,28,30,,,,
Maluku Utara,Halmahera Barat,52.05,52.84,53.07,53.10,3,3,2,2,38.21,30.89,32.58,29.16,59.00,121.44,142.2,51.00,67.84,68.56,69.20,69.75,8.57,8.58,8.59,8.60,88.96,89.16,89.34,89.59,,,,,,,,,72.73,76.39,80.66,,70.21,70.46,70.72,71.11,0.77,0.78,0.78,0.79,,,41,41,65.25,60.64,,
,Halmahera Tengah,50.67,50.67,52.96,57.64,2,2,3,3,33.07,38.26,32.90,36.86,31.00,173.89,398.89,369.00,68.95,69.95,70.94,71.57,9.02,9.19,9.20,9.21,90.24,90.60,90.72,90.78,,,,,,,,,84.55,80.45,82.69,,69.75,70.19,70.48,70.90,0.77,0.77,0.78,0.78,,,62,63,57.16,71.51,,
